commentId,documentId,agencyId,year,max_cosine,min_edit_distance,max_lcs,max_lcs_pct,comment_length,polarity,n_all_comments,n_doc_dupe_comments,pct_doc_dupe_comments,n_gt90,pct_gt90,all_tokens,unique_tokens,rare_tokens,pct_rare_tokens,form_letter
SBA-2018-0009-4169,SBA-2018-0009-4112,SBA,2020,0.66018038595547,131,71,0.284,300,0,134,69,0.5348837209302325,7,0.05426356589147287,27,22,4,0.14814814814814814,n
SBA-2018-0009-4170,SBA-2018-0009-4112,SBA,2020,0.41223539112512,103,47,0.188,652,0.1111111111111111,134,69,0.5348837209302325,7,0.05426356589147287,62,41,12,0.1935483870967742,y
SBA-2018-0009-4171,SBA-2018-0009-4112,SBA,2020,0.44224513218182,133,42,0.168,587,-0.45454545454545453,134,69,0.5348837209302325,7,0.05426356589147287,57,38,4,0.07017543859649122,n
SBA-2018-0009-4172,SBA-2018-0009-4112,SBA,2020,0.56523206133791,117,48,0.192,412,0.2,134,69,0.5348837209302325,7,0.05426356589147287,40,36,4,0.1,n
SBA-2018-0009-4173,SBA-2018-0009-4112,SBA,2020,0.19429808493446,187,20,0.08,622,-0.4,134,69,0.5348837209302325,7,0.05426356589147287,56,46,9,0.16071428571428573,n
SBA-2018-0009-4174,SBA-2018-0009-4112,SBA,2020,0.65962257973578,189,61,0.244,1698,0.3076923076923077,134,69,0.5348837209302325,7,0.05426356589147287,153,106,23,0.1503267973856209,n
SBA-2018-0009-4175,SBA-2018-0009-4112,SBA,2020,0.21488117775394,187,10,0.04,657,0.1111111111111111,134,69,0.5348837209302325,7,0.05426356589147287,67,54,9,0.13432835820895522,n
SBA-2018-0009-4176,SBA-2018-0009-4112,SBA,2020,0.35577010140112,186,16,0.064,1495,0.21739130434782608,134,69,0.5348837209302325,7,0.05426356589147287,123,82,8,0.06504065040650407,n
SBA-2018-0009-4177,SBA-2018-0009-4112,SBA,2020,0.34163665734966,188,15,0.06,369,1,134,69,0.5348837209302325,7,0.05426356589147287,31,29,1,0.03225806451612903,n
SBA-2018-0009-4178,SBA-2018-0009-4112,SBA,2020,0.0160456127403,198,13,0.1780821917808219,73,1,134,69,0.5348837209302325,7,0.05426356589147287,5,5,1,0.2,n
SBA-2018-0009-4179,SBA-2018-0009-4112,SBA,2020,0.18947269675401,189,20,0.08,380,-0.1111111111111111,134,69,0.5348837209302325,7,0.05426356589147287,34,26,2,0.058823529411764705,n
SBA-2018-0009-4180,SBA-2018-0009-4112,SBA,2020,0.65962257973578,202,61,0.244,3040,0.35,134,69,0.5348837209302325,7,0.05426356589147287,282,177,54,0.19148936170212766,n
SBA-2018-0009-4182,SBA-2018-0009-4112,SBA,2020,0.33046527186301,189,17,0.07083333333333333,240,0.2,134,69,0.5348837209302325,7,0.05426356589147287,17,17,2,0.11764705882352941,n
SBA-2018-0009-4236,SBA-2018-0009-4112,SBA,2020,0.98229606386341,0,250,1,817,0.14285714285714285,134,69,0.5348837209302325,7,0.05426356589147287,78,56,12,0.15384615384615385,y
SBA-2018-0009-4246,SBA-2018-0009-4112,SBA,2020,0.98229606386341,0,250,1,862,0.06666666666666667,134,69,0.5348837209302325,7,0.05426356589147287,84,60,13,0.15476190476190477,y
